RecordID,KnowledgeDomain,Category,Name,ShortDefinition,HRDiagramPlacement,TemperatureKRange,LuminositySolarRange,SpectralClass,ColorCue,LifecycleStage,AppUseCase,AIEnhancement,PowerAppsScreen,SuggestedDataverseTable,UserFacingExplanation,ScientificIntegrityNote,ConfidenceRule,DataSourceSuggestion,Tags
SK-001,Product Concept,Core Identity,Stellar Cognition Interface,AI system that explains the life behind observed starlight.,All regions,Variable,Variable,All,Variable,Variable,Main product concept,"Turns star data into explanation, placement, and learning journey.",Home,ProductKnowledge,"This tool helps users understand what a star is, where it belongs, and what it may become.",Do not present inference as direct observation.,Require evidence label for every generated claim.,Internal concept; astronomy catalogs for real data,concept;mission;ai
SK-002,Product Concept,Core Anchor,Life Behind the Light,Central phrase for explaining the product value.,All regions,Variable,Variable,All,Variable,Variable,Brand/messaging,Creates emotional and scientific framing.,Home,ProductKnowledge,A telescope shows light; this system explains the life behind that light.,Keep poetic language scientifically grounded.,No confidence score needed for brand copy.,Internal concept,branding;outreach
SK-003,Input Layer,Observation Method,Telescope Image Upload,User uploads an image captured through a telescope.,N/A,N/A,N/A,N/A,Image-based,N/A,Observation capture,AI checks image quality and suggests likely star matches.,Observation Capture,ObservationSessions,Upload a telescope image to begin identifying stars in the field.,Image-based identification may be uncertain without location and time.,"Higher confidence with timestamp, location, and clear image quality.",User upload; plate-solving service,input;telescope;image
SK-004,Input Layer,Observation Method,Phone Sky View,Phone camera or manual sky view used for guided observation.,N/A,N/A,N/A,N/A,Approximate,N/A,Observation capture,"AI combines image, time, and location to suggest visible stars.",Observation Capture,ObservationSessions,Use your phone sky view as a starting point for star identification.,Phone images may not capture true star color or brightness.,Mark results tentative unless catalog-matched.,User input; sky map API,input;mobile;sky
SK-005,Input Layer,Observation Method,Catalog Search,User searches a known star or catalog object.,All regions,Variable,Variable,All,Catalog-based,Variable,Star lookup,AI retrieves properties and explains H-R placement.,Star Search,Stars,Search for a known star and generate its profile.,Catalog values should be cited or sourced.,Higher confidence when multiple catalog fields agree.,Gaia; SIMBAD; NASA Exoplanet Archive,input;catalog;search
SK-006,Data Field,Astrometry,Right Ascension,Celestial longitude coordinate used to locate stars.,N/A,N/A,N/A,All,N/A,N/A,Star identification,Supports catalog matching and sky position.,Star Detail,Stars,Right ascension helps locate the star on the celestial sphere.,Coordinate epoch should be noted when available.,Confidence depends on catalog source quality.,Gaia; SIMBAD,astrometry;coordinates
SK-007,Data Field,Astrometry,Declination,Celestial latitude coordinate used to locate stars.,N/A,N/A,N/A,All,N/A,N/A,Star identification,Supports catalog matching and sky position.,Star Detail,Stars,Declination helps locate the star above or below the celestial equator.,Coordinate epoch should be noted when available.,Confidence depends on catalog source quality.,Gaia; SIMBAD,astrometry;coordinates
SK-008,Data Field,Photometry,Apparent Magnitude,How bright a star appears from Earth.,All regions,Variable,Variable,All,Brightness cue,Variable,Star profile,AI compares visible brightness with distance and luminosity.,Star Detail,Stars,Apparent magnitude is how bright the star looks from Earth.,Not the same as true luminosity.,Use with distance or parallax for stronger interpretation.,Gaia; SIMBAD; Hipparcos,photometry;magnitude
SK-009,Data Field,Photometry,Absolute Magnitude,How bright a star would appear at a standard distance of 10 parsecs.,All regions,Variable,Variable,All,Brightness cue,Variable,H-R placement,AI uses it to estimate luminosity placement.,H-R Diagram,HRPlacements,Absolute magnitude helps compare stars fairly by removing distance effects.,Requires reliable distance estimate.,Confidence depends on parallax accuracy.,Gaia; SIMBAD,photometry;luminosity
SK-010,Data Field,Photometry,Color Index,Numeric measure of star color often used to infer temperature.,All regions,Variable,Variable,All,Blue to red,Variable,Temperature estimation,AI uses color index to estimate surface temperature.,Star Detail,Stars,Color index helps show whether a star is hotter or cooler.,Dust reddening can distort color interpretation.,Confidence improves with corrected photometry.,Gaia; SIMBAD,photometry;color
SK-011,Data Field,Physics,Surface Temperature,Approximate temperature of the star surface in Kelvin.,Horizontal axis,2500-50000+,Variable,All,Blue is hotter; red is cooler,Variable,H-R placement,AI places stars along the temperature axis.,H-R Diagram,Stars,Temperature helps determine where the star sits left to right on the H-R diagram.,Temperature estimates may vary by method.,Use spectral class and color index together.,Gaia; SIMBAD; stellar models,temperature;physics
SK-012,Data Field,Physics,Luminosity,Total energy output relative to the Sun.,Vertical axis,Variable,0.0001-1000000+,All,Brightness cue,Variable,H-R placement,AI places stars vertically by energy output.,H-R Diagram,Stars,Luminosity shows how much energy the star truly emits.,Requires distance and brightness correction.,Higher confidence with reliable parallax.,Gaia; SIMBAD,luminosity;physics
SK-013,Data Field,Physics,Radius,Approximate size of the star relative to the Sun.,All regions,Variable,Variable,All,Variable,Variable,Star biography,AI explains why giants are luminous despite cooler surfaces.,Star Detail,Stars,Radius helps explain why some cool stars can still be extremely bright.,Often model-derived rather than directly measured.,Label as inferred unless directly measured.,Stellar models; catalogs,radius;physics
SK-014,Data Field,Physics,Mass,Approximate stellar mass relative to the Sun.,All regions,Variable,Variable,All,Variable,Variable,Lifecycle prediction,AI predicts lifespan and final remnant pathway.,Star Detail,Stars,Mass strongly shapes how fast a star lives and how it dies.,Mass may be estimated indirectly.,"Use mass ranges, not false precision, when uncertain.",Stellar models; binary observations,mass;evolution
SK-015,Data Field,Physics,Metallicity,Abundance of elements heavier than helium.,All regions,Variable,Variable,All,N/A,Variable,Population context,"AI discusses age, formation history, and planet formation context.",Star Detail,Stars,Metallicity gives clues about a star's formation environment.,Often unavailable for casual observations.,Mark missing or unknown when absent.,Gaia; spectroscopy catalogs,metallicity;chemistry
SK-016,H-R Region,Main Sequence,O-Type Main Sequence,"Very hot, massive, blue main sequence star.",Upper-left,30000-50000+,10000-1000000+,O,Blue,Hydrogen fusion,Classification and lifecycle teaching,AI explains short lifespan and intense radiation.,H-R Diagram,StarTypes,"These stars burn hot and fast, living much shorter lives than Sun-like stars.",Avoid implying long-term habitability is likely.,High confidence requires spectral class or strong catalog match.,SIMBAD; Gaia; stellar models,main sequence;hot;massive
SK-017,H-R Region,Main Sequence,B-Type Main Sequence,Hot blue-white main sequence star.,Upper-left,10000-30000,25-30000,B,Blue-white,Hydrogen fusion,Classification and comparison,AI explains high energy output and shorter stellar lifetime.,H-R Diagram,StarTypes,"B-type stars are hot, bright, and much more massive than the Sun.",Planetary stability may be limited by lifespan and radiation.,Use catalog spectral class for confidence.,SIMBAD; Gaia,main sequence;blue
SK-018,H-R Region,Main Sequence,A-Type Main Sequence,White or blue-white star hotter than the Sun.,Upper-left to center-left,7500-10000,5-80,A,White to blue-white,Hydrogen fusion,Star biography,AI compares stars like Vega or Sirius A to the Sun.,Star Detail,StarTypes,"A-type stars are bright, hot, and often visually striking in the night sky.",Do not equate visible brightness with closeness without distance data.,Confidence improves with known spectral class.,SIMBAD; Gaia,main sequence;vega;sirius
SK-019,H-R Region,Main Sequence,F-Type Main Sequence,Yellow-white star slightly hotter than the Sun.,Center-left,6000-7500,1.5-5,F,Yellow-white,Hydrogen fusion,Habitability discussion,AI explains moderate stability and higher UV than Sun-like stars.,H-R Diagram,StarTypes,"F-type stars are hotter and brighter than the Sun, with shorter stable lifetimes.",Habitability claims require exoplanet evidence.,Use cautious language for planetary context.,NASA Exoplanet Archive; SIMBAD,main sequence;habitability
SK-020,H-R Region,Main Sequence,G-Type Main Sequence,Sun-like yellow-white main sequence star.,Center,5200-6000,0.6-1.5,G,Yellow-white,Hydrogen fusion,Solar comparison,AI uses the Sun as a reference point for learners.,H-R Diagram,StarTypes,G-type stars include the Sun and can provide long stable energy periods.,Do not imply every G star has habitable planets.,Pair with planet data before habitability claims.,NASA Exoplanet Archive; SIMBAD,main sequence;sun;habitability
SK-021,H-R Region,Main Sequence,K-Type Main Sequence,Orange main sequence star cooler than the Sun.,Center-right,3700-5200,0.08-0.6,K,Orange,Hydrogen fusion,Habitability discussion,AI explains long lifespan and stable energy potential.,H-R Diagram,StarTypes,"K-type stars are cooler, dimmer, and longer-lived than the Sun.",Flare activity varies by star and age.,Do not generalize habitability without star-specific data.,SIMBAD; NASA Exoplanet Archive,main sequence;orange
SK-022,H-R Region,Main Sequence,M-Type Red Dwarf,"Cool, faint, long-lived main sequence star.",Lower-right,2400-3700,0.0001-0.08,M,Red,Hydrogen fusion,Habitability and exoplanet context,"AI explains flare risk, tidal locking, and long lifespan.",H-R Diagram,StarTypes,"Red dwarfs are small, cool, faint, and extremely long-lived.",Habitability is complex due to flares and tidal locking.,Use exoplanet data when discussing worlds.,NASA Exoplanet Archive; SIMBAD,red dwarf;habitability
SK-023,H-R Region,Giant Branch,Red Giant,Expanded late-stage star with cool surface but high luminosity.,Upper-right,3000-5000,100-3000,K/M giant,Orange-red,Post-main sequence,Lifecycle explanation,AI shows why expanded radius increases luminosity.,Lifecycle,StarTypes,A red giant is an aging star whose outer layers have expanded.,Do not call all red stars red giants.,Require luminosity class or H-R placement evidence.,SIMBAD; stellar models,red giant;evolution
SK-024,H-R Region,Supergiant Region,Red Supergiant,Massive evolved star with enormous radius and high luminosity.,Far upper-right,3000-4500,10000-500000+,M/K supergiant,Red-orange,Late massive star,Dramatic lifecycle teaching,AI explains future supernova possibility for massive examples.,Lifecycle,StarTypes,A red supergiant is a huge evolved star nearing an unstable late phase.,Not every red supergiant will explode on human timescales.,Avoid exact death timing unless sourced.,SIMBAD; stellar models,supergiant;supernova
SK-025,H-R Region,Supergiant Region,Blue Supergiant,"Very hot, massive, extremely luminous evolved star.",Upper-left to top,10000-30000+,10000-1000000+,O/B supergiant,Blue-white,Massive evolved star,High-energy stellar evolution,"AI explains mass loss, instability, and intense radiation.",Lifecycle,StarTypes,"Blue supergiants are massive, hot, and extremely luminous evolved stars.",Evolutionary paths are model-dependent.,Use broad pathway language.,SIMBAD; stellar models,supergiant;blue
SK-026,H-R Region,White Dwarf Region,White Dwarf,"Hot, dense stellar remnant with low luminosity.",Lower-left,5000-100000,0.0001-0.1,D,White to blue-white,Stellar remnant,End-state explanation,AI explains cooling remnant and previous red giant phase.,Lifecycle,StarTypes,A white dwarf is the exposed remnant core of a low- or medium-mass star.,Not actively fusing like a main sequence star.,"Use remnant language, not living star language.",SIMBAD; Gaia,white dwarf;remnant
SK-027,Lifecycle,Early Stage,Molecular Cloud,Cold gas and dust region where stars may form.,Before H-R placement,10-100,N/A,N/A,Dark cloud,Pre-stellar,Lifecycle simulator,AI explains gravity-driven collapse and star birth.,Lifecycle,LifecycleStages,Stars are born from dense regions of gas and dust.,Not a star yet; do not place as normal H-R point.,Mark as pre-stellar stage.,NASA; ESA; textbooks,birth;cloud
SK-028,Lifecycle,Early Stage,Protostar,Young forming star before stable hydrogen fusion.,Pre-main sequence,Variable,Variable,Variable,Infrared/embedded,Formation,Lifecycle simulator,"AI explains contraction, heating, and disk formation.",Lifecycle,LifecycleStages,A protostar is a forming star still gathering mass.,Properties are uncertain and often obscured by dust.,Use pre-main sequence label.,NASA; ESA; stellar models,protostar;formation
SK-029,Lifecycle,Stable Stage,Hydrogen Fusion,Main energy process for main sequence stars.,Main sequence,Variable,Variable,All main sequence,Variable,Main sequence,Physics explanation,AI explains balance between gravity and outward pressure.,Star Detail,PhysicsConcepts,Hydrogen fusion powers main sequence stars and keeps them stable.,Simplify without claiming all fusion stages are identical.,Confidence tied to lifecycle classification.,Textbook; NASA education,fusion;main sequence
SK-030,Lifecycle,Transition Stage,Core Hydrogen Depletion,Stage when core hydrogen fuel runs low.,Leaving main sequence,Variable,Variable,Variable,Variable,Post-main sequence transition,Evolution simulator,AI shows why a star leaves the main sequence.,Lifecycle,LifecycleStages,"When core hydrogen runs low, the star begins changing structure.",Timescale depends strongly on mass.,"Use modeled ranges, not exact dates.",Stellar evolution models,evolution;fuel
SK-031,Lifecycle,Late Stage,Helium Fusion,Fusion of helium into heavier elements in evolved stars.,Giant regions,Variable,Variable,Evolved stars,Variable,Red giant/supergiant,Element legacy,AI connects stellar aging to carbon and oxygen production.,Cosmic Inheritance,PhysicsConcepts,Helium fusion helps create heavier elements inside evolved stars.,Element pathways vary by stellar mass.,Use broad descriptions unless star-specific data exists.,Textbook; NASA education,helium;carbon;oxygen
SK-032,Lifecycle,End State,Supernova Pathway,Explosive death of some massive stars.,Post-supergiant,Variable,Very high,Massive stars,Bright transient,Explosive end stage,Cosmic element legacy,AI explains element dispersal and remnant formation.,Cosmic Inheritance,LifecycleStages,Some massive stars end in supernovae that seed space with heavy elements.,Do not predict exact supernova timing casually.,Requires mass and evolutionary evidence.,NASA; ESA; stellar models,supernova;elements
SK-033,Lifecycle,End State,Neutron Star,Dense remnant from some massive star explosions.,Not standard H-R star point,Very hot initially,Low visible luminosity,N/A,N/A,Compact remnant,Remnant education,"AI explains collapse, density, and pulsars when relevant.",Lifecycle,StarTypes,A neutron star is an extremely dense remnant left by some supernovae.,Not plotted like a normal luminous star in basic H-R view.,Use special remnant layer.,NASA; textbooks,neutron star;remnant
SK-034,Lifecycle,End State,Black Hole,Collapsed remnant where gravity prevents light from escaping.,Not standard H-R star point,N/A,N/A,N/A,N/A,Compact remnant,Advanced education,AI explains endpoint for very massive stars.,Lifecycle,StarTypes,A black hole can form when a very massive stellar core collapses.,Do not treat as directly visible on H-R diagram.,"Represent as lifecycle endpoint, not H-R point.",NASA; textbooks,black hole;remnant
SK-035,Habitability,Planetary Context,Habitable Zone,Region around a star where liquid water could exist on a planet surface under right conditions.,Context layer,Variable,Variable,All,N/A,Variable,Planet context,AI estimates zone conceptually based on luminosity.,Habitability,HabitabilityRules,The habitable zone depends on stellar luminosity and planetary atmosphere.,Habitable zone does not guarantee life.,Require planet data for planet-specific claims.,NASA Exoplanet Archive,habitability;planets
SK-036,Habitability,Risk Factor,Stellar Flares,Sudden bursts of radiation from magnetically active stars.,Context layer,Variable,Variable,Often M/K young stars,N/A,Variable,Habitability caution,AI flags flare activity as atmospheric and biological risk factor.,Habitability,HabitabilityRules,Flares can affect planetary atmospheres and surface conditions.,Do not overgeneralize across all red dwarfs.,Use activity indicators when available.,NASA; research catalogs,flares;radiation
SK-037,Habitability,Risk Factor,Tidal Locking,Planet keeps one side facing its star due to orbital locking.,Context layer,Variable,Variable,Common discussion around M dwarfs,N/A,Variable,Planet context,AI explains climate implications for close-in planets.,Habitability,HabitabilityRules,Close-in planets around cool stars may become tidally locked.,Tidal locking does not automatically make a planet uninhabitable.,Use cautious phrasing.,NASA Exoplanet Archive; models,tidal locking;exoplanets
SK-038,Cosmic Inheritance,Element Origin,Hydrogen,Most abundant element and main fuel for stars.,All stars,N/A,N/A,All,N/A,Fuel source,Element overlay,AI connects hydrogen fusion to stellar energy.,Cosmic Inheritance,ElementOrigins,Hydrogen is the primary fuel of main sequence stars.,Avoid implying stars created most primordial hydrogen.,Mark as primordial fuel source.,NASA education; textbooks,element;hydrogen
SK-039,Cosmic Inheritance,Element Origin,Helium,Produced by hydrogen fusion in stars and also formed early in the universe.,Main sequence and evolved stars,N/A,N/A,All,N/A,Fusion product,Element overlay,AI connects helium production to stellar fusion.,Cosmic Inheritance,ElementOrigins,Stars create helium by fusing hydrogen in their cores.,Some helium is primordial from the early universe.,Separate stellar and primordial origins.,NASA education; textbooks,element;helium
SK-040,Cosmic Inheritance,Element Origin,Carbon,Key life-related element formed in evolved stars.,Giant and evolved regions,N/A,N/A,Evolved stars,N/A,Helium-burning stage,Element overlay,AI connects red giant evolution to carbon production.,Cosmic Inheritance,ElementOrigins,Carbon is produced in evolved stars and becomes part of future planets and life chemistry.,Production depends on stellar mass and stage.,Use broad element legacy language.,NASA education; textbooks,element;carbon;life
SK-041,Cosmic Inheritance,Element Origin,Oxygen,Major element formed in massive stars and distributed by stellar processes.,Massive/evolved stars,N/A,N/A,Massive stars,N/A,Advanced fusion stages,Element overlay,AI explains oxygen as part of cosmic chemical inheritance.,Cosmic Inheritance,ElementOrigins,"Oxygen is forged in stars and later becomes part of planets, water, and atmospheres.",Distribution pathway depends on stellar death and mass loss.,Avoid simplistic one-source claims.,NASA education; textbooks,element;oxygen
SK-042,Cosmic Inheritance,Element Origin,Iron,Element formed in late-stage massive stars before core collapse.,Massive evolved stars,N/A,N/A,Massive stars,N/A,Late fusion stage,Element overlay,AI explains why iron is tied to massive star evolution.,Cosmic Inheritance,ElementOrigins,Iron is associated with late fusion stages in massive stars and supernova events.,Do not imply low-mass stars create iron cores.,Require massive-star context.,NASA education; textbooks,element;iron;supernova
SK-043,Cosmic Inheritance,Element Origin,Gold,Heavy element associated with neutron star mergers and some explosive processes.,Compact-object events,N/A,N/A,N/A,N/A,Post-stellar event,Element overlay,AI connects heavy elements to extreme cosmic events.,Cosmic Inheritance,ElementOrigins,"Gold is linked to rare, extreme events such as neutron star mergers.",Avoid claiming every supernova creates gold in large amounts.,Use modern heavy-element origin nuance.,NASA; LIGO education,element;gold;neutron merger
SK-044,AI Feature,Explanation Mode,Student Mode,Simplified explanations for learners.,All regions,Variable,Variable,All,Variable,Variable,Education mode,AI reduces complexity while staying accurate.,AI Explanation,AIExplanations,"This mode explains stars in clear, beginner-friendly language.",Do not remove scientific truth for simplicity.,No confidence change; explanation style only.,Internal app logic,education;student
SK-045,AI Feature,Explanation Mode,Research Mode,Detailed technical explanations with evidence and uncertainty.,All regions,Variable,Variable,All,Variable,Variable,Advanced mode,"AI includes catalog data, uncertainty, and technical terms.",AI Explanation,AIExplanations,This mode gives deeper technical detail for advanced users.,Must show evidence and limitations.,Require source and confidence fields.,Catalogs; model outputs,research;technical
SK-046,AI Feature,Explanation Mode,Public Wonder Mode,Emotionally resonant but accurate explanation style.,All regions,Variable,Variable,All,Variable,Variable,Public outreach,AI uses wonder language grounded in science.,AI Explanation,AIExplanations,This mode helps the public feel the meaning of what they are seeing.,Do not invent facts for drama.,"Confidence applies to science claims, not tone.",Internal app logic,outreach;storytelling
SK-047,AI Feature,Explanation Mode,NASA STEM Outreach Mode,Mission-aligned educational explanation for workshops and demos.,All regions,Variable,Variable,All,Variable,Variable,STEM learning,"AI connects astronomy, data literacy, AI, and scientific reasoning.",AI Explanation,AIExplanations,This mode frames star observation as a STEM learning experience.,Avoid using official endorsement unless granted.,Require neutral institutional language.,Internal app logic,NASA;STEM;outreach
SK-048,AI Feature,Governance,Evidence Trail,Visible record of data used for each AI conclusion.,All regions,Variable,Variable,All,Variable,Variable,Trust layer,AI shows source fields and why they matter.,Evidence Trail,EvidenceRecords,The evidence trail shows why the system made a classification.,"Must distinguish sources, estimates, and missing data.",Classification must reference at least one evidence item.,Catalogs; user observations,explainability;trust
SK-049,AI Feature,Governance,Confidence Score,Numeric or labeled estimate of reliability.,All regions,Variable,Variable,All,Variable,Variable,Trust layer,AI communicates uncertainty clearly.,Evidence Trail,HRPlacements,Confidence shows how strongly the available data supports the result.,Confidence is not truth; it is evidence strength.,"Use low, medium, high or percent with rules.",Internal app logic,confidence;uncertainty
SK-050,AI Feature,Governance,Uncertainty Halo,Visual radius around H-R placement showing possible error.,All regions,Variable,Variable,All,Variable,Variable,Visualization,AI displays possible placement range instead of a single false-certain dot.,H-R Diagram,HRPlacements,A wider halo means the star's placement is less certain.,Do not hide uncertainty for cleaner visuals.,Halo size tied to data completeness and measurement error.,Internal app logic,uncertainty;visualization
SK-051,AI Feature,Productivity,Stellar Report Generator,Creates a saved report after an observation session.,All regions,Variable,Variable,All,Variable,Variable,Session output,"AI summarizes star profile, H-R placement, evidence, and takeaway.",Reports,StellarReports,Generate a report that explains what you observed and what it means.,Report must label inferred and simulated values.,Require source and timestamp in report.,ObservationSessions; Stars,report;portfolio
SK-052,AI Feature,Education,STEM Challenge Mode,Guided learning tasks based on star types and H-R regions.,All regions,Variable,Variable,All,Variable,Variable,Learning path,AI recommends challenges and checks user understanding.,Challenges,STEMChallenges,Complete missions like finding a main sequence star or comparing a red giant to the Sun.,"Challenges should teach, not overstate ability to observe faint objects.","Completion based on app interaction, not scientific discovery.",Internal curriculum,education;gamification
SK-053,AI Feature,Observation Help,AI Telescope Coach,AI-guided observation quality support.,N/A,N/A,N/A,N/A,Image quality,N/A,Field support,"AI suggests focus, exposure, target timing, and light pollution adjustments.",Observation Capture,ObservationSessions,The coach helps improve your image and observation conditions.,"Image advice should be framed as guidance, not guaranteed fix.",Confidence depends on image metadata and visible quality.,User image metadata,telescope;coaching
SK-054,Visualization,Screen Component,Interactive H-R Diagram,Main visual chart showing stars by temperature and luminosity.,All regions,2400-50000+,0.0001-1000000+,All,Blue to red,Variable,Core visualization,AI places and explains stars on the chart.,H-R Diagram,HRPlacements,The H-R diagram shows how star temperature and luminosity reveal lifecycle stage.,Axes must be clearly labeled and orientation explained.,Placement confidence must appear near plotted point.,App data; catalog data,chart;hr diagram
SK-055,Visualization,Screen Component,Star Biography Card,Profile panel summarizing a selected star.,All regions,Variable,Variable,All,Variable,Variable,Star detail,AI generates readable summary from structured fields.,Star Detail,StarProfiles,"The biography card summarizes the star's identity, properties, stage, and meaning.",Separate known facts from generated explanation.,Require last-updated and source fields.,Stars; AIExplanations,profile;card
SK-056,Visualization,Screen Component,Lifecycle Timeline,Timeline view of possible past and future star stages.,All regions,Variable,Variable,All,Variable,Variable,Lifecycle learning,AI maps star mass/type to likely pathway.,Lifecycle,LifecyclePaths,The timeline shows how this type of star may change over cosmic time.,"Future path is model-based, not directly observed.",Confidence depends on mass and stage data.,Stellar evolution models,timeline;evolution
SK-057,Visualization,Screen Component,Element Overlay,Overlay linking star stages to element creation.,Evolved and explosive regions,Variable,Variable,All,Variable,Variable,Cosmic inheritance,AI connects stellar evolution to chemical elements.,Cosmic Inheritance,ElementOrigins,The overlay shows how stars help create and distribute elements.,Element creation should be simplified carefully.,Use broad pathways unless detailed nucleosynthesis data is available.,NASA education; textbooks,elements;overlay
SK-058,Power Platform,Data Model,ObservationSessions Table,Stores each user viewing or analysis session.,N/A,N/A,N/A,N/A,N/A,N/A,Dataverse design,"Enables reports, progress tracking, and saved observations.",Observation Capture,ObservationSessions,Each session records what the user observed and when.,Avoid storing precise location unless user consents.,SessionID should be unique.,Power Apps Dataverse,dataverse;session
SK-059,Power Platform,Data Model,Stars Table,Stores structured star properties.,All regions,Variable,Variable,All,Variable,Variable,Dataverse design,Supports reusable star profiles and H-R placement.,Star Search,Stars,The Stars table stores scientific properties used by the app.,Keep source and update date for each record.,StarID should be unique.,Gaia; SIMBAD,dataverse;stars
SK-060,Power Platform,Data Model,AIExplanations Table,Stores generated explanations and mode used.,All regions,Variable,Variable,All,Variable,Variable,Dataverse design,Preserves AI outputs for review and reporting.,AI Explanation,AIExplanations,The app stores explanations so users can revisit or export them.,Generated text should include timestamp and model/version if available.,ExplanationID should be unique.,Power Apps; AI Builder/Copilot,dataverse;ai
SK-061,Power Platform,Data Model,HRPlacements Table,Stores plotted H-R diagram positions and confidence.,All regions,Variable,Variable,All,Variable,Variable,Dataverse design,Separates chart placement from raw star data.,H-R Diagram,HRPlacements,This table stores where each star appears on the diagram.,Placement should include confidence and evidence fields.,PlacementID should be unique.,Stars; AI calculations,dataverse;chart
SK-062,Power Platform,Data Model,EvidenceRecords Table,Stores data points supporting AI conclusions.,All regions,Variable,Variable,All,Variable,Variable,Dataverse design,Enables transparent reasoning and auditability.,Evidence Trail,EvidenceRecords,Each evidence record explains one reason behind the AI result.,Evidence should map to a source and claim.,EvidenceID should be unique.,Catalogs; user input,dataverse;evidence
SK-063,Power Platform,Flow,Generate Stellar Report Flow,Power Automate flow that creates a report after a session.,All regions,Variable,Variable,All,Variable,Variable,Automation,AI summarizes session and writes a report record.,Reports,StellarReports,"After a session, generate a clear report of the observation and learning takeaway.",Report should state when values are estimated.,Run only after required fields are present.,Power Automate,flow;report
SK-064,Power Platform,Flow,Send Mentor Summary Flow,Optional flow that emails a report to a teacher or mentor.,All regions,Variable,Variable,All,Variable,Variable,Education automation,AI formats a short summary for review.,Reports,StellarReports,"Send a polished summary to an educator, mentor, or program lead.",Only send with user permission.,Require consent before email action.,Power Automate; Outlook,flow;email
SK-065,Validation,Scientific Integrity,Observed vs Inferred Label,Required label showing how each value was obtained.,All regions,Variable,Variable,All,Variable,Variable,Trust and validation,AI tags each field by evidence type.,Evidence Trail,EvidenceRecords,"Every value should say whether it was observed, catalog-based, inferred, or simulated.",This is required to prevent scientific overclaiming.,Missing label reduces confidence.,Internal validation rule,integrity;labels
SK-066,Validation,Scientific Integrity,Missing Data Warning,Warning shown when needed fields are unavailable.,All regions,Variable,Variable,All,Variable,Variable,Trust and validation,AI explains what cannot be concluded yet.,Evidence Trail,EvidenceRecords,The app will tell users what data is missing and why it matters.,Never fill missing data with invented precision.,Missing key fields lower confidence.,Internal validation rule,integrity;missing data
SK-067,Validation,Scientific Integrity,Alternative Classification,Secondary possible classification when evidence is incomplete.,All regions,Variable,Variable,All,Variable,Variable,Trust and validation,AI shows plausible alternatives instead of one forced answer.,Star Detail,HRPlacements,"When data is limited, the app can show another possible classification.",Alternative should be clearly labeled as less likely.,Use only when ambiguity is meaningful.,AI classification logic,integrity;alternatives
SK-068,Education,Challenge,Find the Main Sequence,User identifies or searches a main sequence star.,Main sequence,Variable,Variable,O-M,Variable,Hydrogen fusion,STEM challenge,AI checks answer and explains placement.,Challenges,STEMChallenges,Find a star that belongs on the main sequence and explain why.,Use known catalog examples for beginner success.,Challenge confidence based on selected star type.,Internal curriculum,challenge;main sequence
SK-069,Education,Challenge,Compare to the Sun,User compares another star with the Sun.,Center reference,5778 approx,1,G2V,Yellow-white,Main sequence,STEM challenge,"AI explains differences in temperature, luminosity, mass, and lifespan.",Challenges,STEMChallenges,Compare a selected star to the Sun to understand scale and lifecycle.,Solar values should be presented as reference values.,Use trusted reference values.,NASA education; catalogs,challenge;sun
SK-070,Education,Challenge,Trace a Star Lifecycle,User explores how a star changes over time.,All regions,Variable,Variable,All,Variable,Variable,STEM challenge,AI guides lifecycle pathway and checks understanding.,Challenges,STEMChallenges,Trace how a star moves through the H-R diagram as it ages.,Lifecycle paths are model-based simplifications.,Confidence depends on mass range and class.,Stellar evolution models,challenge;lifecycle
